fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7,0.65,2.1,0.066,25,0.9972,3.47,0.67,9.5,6
7,0.64,2.1,0.067,23,0.997,3.47,0.67,9.4,6
7.8,0.545,2.5,0.068,35,0.996,3.34,0.61,11.6,6
8.1,0.72,2.8,0.084,49,0.9994,3.43,0.72,11.1,6
6.4,0.865,3.2,0.071,58,0.995,3.61,0.49,12.7,6
8.2,0.59,2.5,0.093,58,1.0002,3.5,0.65,9.3,6
8.3,0.76,4.2,0.075,16,0.9965,3.45,0.68,11.5,6
7.3,0.51,2.1,0.07,28,0.99768,3.52,0.73,9.5,6
8.2,0.34,2.5,0.08,57,0.9978,3.3,0.47,9,6
7.2,0.5,2.1,0.071,31,0.99761,3.52,0.72,9.6,6
7.3,0.51,2.1,0.07,28,0.99768,3.52,0.73,9.5,6
7.8,0.48,1.7,0.415,32,0.99656,3.09,1.06,9.1,6
7.8,0.91,1.9,0.058,47,0.99525,3.51,0.43,10.7,6
6.3,0.98,2,0.057,33,0.99488,3.6,0.46,11.2,6
8.8,0.7,1.7,0.069,19,0.99701,3.31,0.53,10,6
9.1,0.68,2.8,0.093,44,0.99888,3.31,0.55,9.5,6
9.2,0.67,3,0.091,48,0.99888,3.31,0.54,9.5,6
7.1,0.59,2.3,0.082,94,0.99744,3.55,0.53,9.7,6
7.1,0.59,2.3,0.082,94,0.99744,3.55,0.53,9.7,6
7.9,0.4,1.8,0.157,44,0.9973,3.3,0.92,9.5,6
6.9,0.635,2.4,0.241,18,0.9961,3.4,0.59,10.3,6
7,0.57,2,0.19,45,0.99676,3.31,0.6,9.4,6
10,0.56,2.2,0.079,58,0.9991,3.18,0.56,10.1,6
10,0.56,2.2,0.079,58,0.9991,3.18,0.56,10.1,6
7.4,0.37,2.6,0.082,82,0.99708,3.33,0.68,9.7,6
7.1,0.61,2.5,0.081,87,0.99745,3.48,0.6,9.7,6
10.1,0.27,2.3,0.065,26,0.99531,3.17,0.53,12.5,6
9.4,0.5,3.6,0.082,14,0.9987,3.29,0.52,10.7,6
7.7,0.56,2.5,0.114,46,0.9971,3.24,0.66,9.6,6
8.4,0.52,2.7,0.084,18,0.99682,3.26,0.57,9.9,6
7.6,0.48,2.8,0.07,15,0.99693,3.22,0.55,10.3,6
12.9,0.5,2.8,0.072,24,1.00012,3.09,0.68,10.9,6
12.6,0.41,2.8,0.103,41,0.99939,3.21,0.76,11.3,6
5.9,0.61,2.1,0.071,24,0.99376,3.56,0.77,11.1,6
10.6,0.5,2.6,0.119,68,0.99708,3.23,0.72,10.9,6
7.4,0.68,1.8,0.078,39,0.9977,3.5,0.7,9.9,6
9.3,0.36,1.5,0.08,55,0.99652,3.47,0.73,10.9,6
9.3,0.36,1.5,0.08,55,0.99652,3.47,0.73,10.9,6
9.3,0.36,1.5,0.08,55,0.99652,3.47,0.73,10.9,6
7.7,0.715,2.1,0.064,43,0.99371,3.41,0.57,11.8,6
7.6,0.715,2.1,0.068,35,0.99533,3.48,0.65,11.4,6
8.4,0.31,3.1,0.194,26,0.99536,3.22,0.78,12,6
8.8,0.61,4,0.094,69,0.99787,3.22,0.5,10,6
9,0.8,2.4,0.083,28,0.99836,3.33,0.65,10.4,6
6.8,0.57,2.5,0.072,64,0.99491,3.43,0.56,11.2,6
10.1,0.45,1.9,0.082,18,0.99774,3.22,0.65,9.3,6
7.2,0.63,2.2,0.08,88,0.99745,3.53,0.58,9.8,6
7.1,0.59,2.3,0.08,43,0.9955,3.42,0.58,10.7,6
7.1,0.59,2.3,0.08,43,0.9955,3.42,0.58,10.7,6
6.1,0.56,2.2,0.079,9,0.9948,3.59,0.54,11.5,6
7.4,0.52,2.4,0.078,61,0.99528,3.43,0.59,10.8,6
9.3,0.38,3.8,0.132,11,0.99577,3.23,0.57,13.2,6
9.1,0.28,9,0.114,9,0.99901,3.18,0.6,10.9,6
10,0.46,2.9,0.065,8,0.99674,3.33,0.62,12.2,6
8.6,0.315,2.2,0.079,6,0.99512,3.27,0.67,11.9,6
6.8,0.41,8.8,0.084,45,0.99824,3.38,0.64,10.1,6
8.4,0.36,2.2,0.081,79,0.9964,3.3,0.72,11,6
8.4,0.62,1.8,0.072,46,0.99504,3.38,0.89,11.8,6
8.4,0.62,1.8,0.072,46,0.99504,3.38,0.89,11.8,6
9.4,0.24,2.3,0.061,73,0.99786,3.47,0.9,10.2,6
7.6,0.4,1.9,0.078,66,0.9971,3.45,0.59,9.5,6
8.8,0.3,2.3,0.06,72,0.99543,3.39,0.72,11.8,6
9,0.36,2.1,0.111,10,0.99568,3.31,0.62,11.3,6
8.5,0.47,1.9,0.058,38,0.99518,3.16,0.85,11.1,6
8.5,0.47,1.9,0.058,38,0.99518,3.16,0.85,11.1,6
9,0.4,2.4,0.068,46,0.9943,3.2,0.6,12.2,6
10.4,0.26,1.9,0.066,10,0.99724,3.33,0.87,10.9,6
9.1,0.5,1.9,0.065,17,0.99774,3.32,0.71,10.5,6
7.3,0.52,2.1,0.07,70,0.99418,3.34,0.82,12.9,6
9.1,0.5,1.9,0.065,17,0.99774,3.32,0.71,10.5,6
7.4,0.58,2,0.064,11,0.99562,3.45,0.58,11.3,6
9.7,0.295,1.5,0.073,21,0.99556,3.14,0.51,10.9,6
7.7,0.6,2,0.079,41,0.99697,3.39,0.62,10.1,6
8.9,0.84,1.4,0.05,10,0.99554,3.12,0.48,9.1,6
6.4,0.69,1.65,0.055,12,0.99162,3.47,0.53,12.9,6
8.9,0.32,2,0.088,19,0.9957,3.17,0.55,10.4,6
7.5,0.71,1.6,0.092,31,0.99635,3.38,0.58,10,6
8,0.58,2,0.12,7,0.99454,3.22,0.58,11.2,6
8,0.18,0.9,0.049,109,0.99007,2.89,0.44,12.7,6
11.3,0.36,2.4,0.123,8,0.99642,3.2,0.53,11.9,6
11.3,0.36,2.4,0.123,8,0.99642,3.2,0.53,11.9,6
8.2,0.32,2.3,0.098,9,0.99506,3.27,0.55,12.3,6
8.6,0.83,2.8,0.095,43,0.99822,3.33,0.6,10.4,6
7.9,0.31,1.9,0.066,36,0.99364,3.41,0.56,12.6,6
8.9,0.745,2.5,0.077,48,0.99739,3.2,0.47,9.7,6
8.9,0.5,2.2,0.088,39,0.99692,3.33,0.83,11.1,6
6.9,0.49,1.7,0.079,26,0.99547,3.38,0.64,9.8,6
6.4,0.39,3.3,0.046,53,0.99294,3.36,0.62,12.2,6
6.9,0.44,1.4,0.07,38,0.99438,3.32,0.58,11.4,6
7.6,0.78,1.7,0.076,45,0.99612,3.31,0.62,10.7,6
9.3,0.49,1.7,0.081,14,0.99702,3.27,0.78,10.9,6
9.3,0.5,1.8,0.084,17,0.99704,3.27,0.77,10.8,6
8.2,0.64,2,0.095,77,0.99747,3.13,0.62,9.1,6
11.6,0.23,1.8,0.074,8,0.9981,3.14,0.7,9.9,6
8,0.38,1.9,0.098,15,0.9956,3.3,0.64,11.4,6
10.2,0.29,2.4,0.075,17,0.99565,3.22,0.63,11.8,6
8.2,0.74,2,0.067,10,0.99418,3.28,0.57,11.8,6
7.7,0.61,2.4,0.083,20,0.9963,3.29,0.6,10.2,6
8,0.62,2.7,0.088,37,0.9972,3.31,0.58,10.7,6
9.9,0.32,2,0.073,8,0.99534,3.15,0.73,11.4,6
7.2,0.38,1.8,0.073,70,0.99685,3.42,0.59,9.5,6
8.7,0.42,2.4,0.072,59,0.99617,3.33,0.77,12,6
7.9,0.19,1.6,0.057,30,0.994,3.29,0.69,11.2,6
7.9,0.34,2,0.086,19,0.99546,3.35,0.6,11.4,6
7,0.54,2,0.081,16,0.99479,3.43,0.59,11.5,6
6.6,0.725,5.5,0.117,17,0.99655,3.35,0.49,10.8,6
6.6,0.725,5.5,0.117,17,0.99655,3.35,0.49,10.8,6
8.4,0.34,2.1,0.072,36,0.99392,3.11,0.78,12.4,6
7.4,0.49,2.1,0.071,25,0.99388,3.35,0.63,12,6
7.4,0.49,2.1,0.071,25,0.99388,3.35,0.63,12,6
8,0.48,2.2,0.073,25,0.9936,3.28,0.66,12.4,6
10.8,0.47,2.1,0.171,66,0.9982,3.17,0.76,10.8,6
8.3,0.53,1.4,0.07,14,0.99593,3.25,0.64,10,6
7.9,0.33,1.5,0.056,35,0.99396,3.29,0.71,11,6
5,0.4,4.3,0.046,80,0.9902,3.49,0.66,13.6,6
7,0.69,2.5,0.091,21,0.99572,3.38,0.6,11.3,6
7,0.69,2.5,0.091,21,0.99572,3.38,0.6,11.3,6
7,0.69,2.5,0.091,21,0.99572,3.38,0.6,11.3,6
7.1,0.39,2.1,0.065,24,0.99252,3.3,0.53,13.3,6
6.3,0.47,1.4,0.055,33,0.9922,3.45,0.48,12.3,6
6.3,0.76,2.9,0.072,52,0.99379,3.51,0.6,11.5,6
9.1,0.6,1.9,0.058,10,0.9977,3.18,0.63,10.4,6
8,0.25,1.7,0.067,50,0.9946,3.38,0.6,11.9,6
10.4,0.52,2,0.08,13,0.99774,3.22,0.76,11.4,6
8.2,0.51,2,0.079,86,0.99764,3.34,0.64,9.5,6
7.3,0.4,1.7,0.08,79,0.9969,3.41,0.65,9.5,6
8.2,0.38,2.5,0.08,71,0.99624,3.27,0.85,11,6
6.9,0.45,2.4,0.043,12,0.99354,3.3,0.65,11.4,6
7,0.22,1.8,0.065,20,0.99672,3.61,0.82,10,6
8.2,0.2,2.5,0.076,51,0.99672,3.53,0.81,10.4,6
7.8,0.5,1.8,0.178,21,0.996,3.28,0.87,9.8,6
7.8,0.39,2,0.086,21,0.99526,3.39,0.66,11.6,6
10,0.35,2,0.061,11,0.99585,3.23,0.52,12,6
6.1,0.58,2.5,0.044,70,0.99352,3.46,0.65,12.5,6
9.6,0.42,2.1,0.083,38,0.99622,3.23,0.66,11.1,6
6.5,0.34,2.8,0.067,44,0.99384,3.21,0.56,12,6
7.6,0.5,2.3,0.086,14,0.99502,3.32,0.62,11.5,6
9.2,0.36,1.6,0.062,12,0.99667,3.2,0.67,10.5,6
9.7,0.42,2.1,0.074,16,0.99649,3.27,0.74,12.3,6
7.6,0.36,1.7,0.079,65,0.99716,3.46,0.62,9.5,6
7.6,0.36,1.7,0.079,65,0.99716,3.46,0.62,9.5,6
6.5,0.61,2.2,0.095,59,0.99541,3.61,0.7,11.5,6
8.2,0.35,2.4,0.076,47,0.99599,3.27,0.81,11,6
9.1,0.4,4.6,0.08,20,0.99652,3.28,0.57,12.5,6
7,0.745,1.8,0.114,64,0.99588,3.22,0.59,9.5,6
6.2,0.43,1.8,0.078,56,0.99633,3.52,0.6,9.5,6
7.7,0.57,1.5,0.069,9,0.99458,3.16,0.54,9.8,6
7.7,0.26,2,0.052,77,0.9951,3.15,0.79,10.9,6
7.9,0.58,2.3,0.076,94,0.99686,3.21,0.58,9.5,6
7.7,0.57,1.5,0.069,9,0.99458,3.16,0.54,9.8,6
6.8,0.65,2.1,0.078,15,0.99498,3.35,0.62,10.4,6
6.8,0.65,2.1,0.078,15,0.99498,3.35,0.62,10.4,6
10.2,0.33,1.9,0.081,9,0.99628,3.1,0.48,10.4,6
7.9,0.57,2,0.079,79,0.99677,3.29,0.69,9.5,6
9,0.39,1.3,0.044,50,0.99478,3.2,0.83,10.9,6
10.9,0.32,1.8,0.132,44,0.99734,3.28,0.77,11.5,6
10.9,0.32,1.8,0.132,44,0.99734,3.28,0.77,11.5,6
12.6,0.39,2.5,0.08,20,0.9992,3.07,0.82,10.3,6
7.7,0.18,2.7,0.066,58,0.9947,3.37,0.78,11.8,6
7.1,0.75,2.2,0.059,18,0.99242,3.39,0.4,12.8,6
7.8,0.55,1.7,0.07,17,0.99659,3.26,0.64,9.4,6
7.1,0.75,2.2,0.059,18,0.99242,3.39,0.4,12.8,6
7.1,0.6,2.3,0.079,37,0.99514,3.4,0.61,10.9,6
7,0.58,4.8,0.085,69,0.99633,3.32,0.7,11,6
6.8,0.64,2.7,0.123,33,0.99538,3.44,0.63,11.3,6
8.5,0.37,1.8,0.066,51,0.99456,3.38,0.72,11.8,6
7.2,0.57,2.3,0.081,36,0.99564,3.38,0.6,10.3,6
7.2,0.57,2.3,0.081,36,0.99564,3.38,0.6,10.3,6
10.4,0.43,2.3,0.068,19,0.996,3.1,0.87,11.4,6
6.9,0.41,2,0.079,51,0.99668,3.47,0.55,9.5,6
5,0.38,1.6,0.048,60,0.99084,3.7,0.75,14,6
7.3,0.44,1.6,0.049,64,0.9935,3.38,0.57,11.7,6
7.8,0.58,2.1,0.102,36,0.9944,3.24,0.53,11.2,6
8,0.715,2.3,0.075,81,0.99688,3.24,0.54,9.5,6
7,0.69,1.9,0.114,10,0.99636,3.35,0.6,9.7,6
8,0.715,2.3,0.075,81,0.99688,3.24,0.54,9.5,6
7.1,0.46,1.9,0.077,54,0.9956,3.37,0.64,10.4,6
7.1,0.46,1.9,0.077,54,0.9956,3.37,0.64,10.4,6
7.9,0.765,2,0.084,22,0.99619,3.33,0.68,10.9,6
8.7,0.63,2.7,0.096,69,0.99734,3.26,0.63,10.2,6
8.2,0.635,2.1,0.073,60,0.99638,3.29,0.75,10.9,6
5.9,0.395,2.4,0.056,28,0.99362,3.62,0.67,12.4,6
7.2,0.53,2.1,0.064,29,0.99323,3.35,0.61,12.1,6
5.7,0.6,1.4,0.063,18,0.99191,3.45,0.56,12.2,6
5.2,0.645,2.15,0.08,28,0.99444,3.78,0.61,12.5,6
6.7,0.86,2,0.1,57,0.99598,3.6,0.74,11.7,6
9.1,0.37,2.1,0.064,15,0.99576,3.3,0.8,11.2,6
6.5,0.51,3,0.064,27,0.9929,3.33,0.59,12.8,6
7.5,0.63,2,0.083,91,0.99616,3.26,0.58,9.8,6
5.4,0.74,1.2,0.041,46,0.99258,4.01,0.59,12.5,6
9.1,0.76,1.7,0.414,64,0.99652,2.9,1.33,9.1,6
5,0.74,1.2,0.041,46,0.99258,4.01,0.59,12.5,6
6.7,0.46,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
6.7,0.46,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
6.7,0.46,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
6.7,0.46,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
7.4,0.6,2.1,0.083,91,0.99616,3.29,0.56,9.8,6
7.4,0.6,2.1,0.083,91,0.99616,3.29,0.56,9.8,6
8.4,0.39,1.7,0.075,25,0.99581,3.09,0.43,9.7,6
6.6,0.58,2.4,0.069,40,0.99387,3.38,0.66,12.6,6
7.5,0.51,1.7,0.084,31,0.99538,3.36,0.54,10.5,6
7.5,0.51,1.7,0.084,31,0.99538,3.36,0.54,10.5,6
7.5,0.51,1.7,0.084,31,0.99538,3.36,0.54,10.5,6
7.5,0.51,1.7,0.084,31,0.99538,3.36,0.54,10.5,6
8.2,0.44,2.3,0.063,28,0.99613,3.25,0.53,10.2,6
7.2,0.62,2.3,0.065,46,0.99332,3.32,0.51,11.8,6
7.3,0.43,2.5,0.078,67,0.99648,3.6,0.59,11.1,6
11.6,0.475,1.4,0.091,28,0.99704,3.07,0.65,10.03333333,6
11.6,0.475,1.4,0.091,28,0.99704,3.07,0.65,10.03333333,6
7.2,0.605,1.9,0.096,31,0.995,3.46,0.53,11.8,6
6.9,0.54,2.2,0.088,105,0.99725,3.25,1.18,10.5,6
8,0.77,2.1,0.079,74,0.99656,3.27,0.5,9.8,6
7.5,0.58,3.1,0.153,14,0.99476,3.21,1.03,11.6,6
7.2,0.45,2,0.078,28,0.99609,3.29,0.51,9.9,6
7.5,0.57,2.6,0.077,35,0.99557,3.36,0.62,10.8,6
7.5,0.57,2.6,0.077,35,0.99557,3.36,0.62,10.8,6
6,0.49,2.3,0.068,33,0.99292,3.58,0.59,12.5,6
8.6,0.685,1.6,0.092,12,0.99745,3.31,0.65,9.55,6
7.2,0.67,2.2,0.068,24,0.9956,3.42,0.72,11.1,6
7.6,0.3,2,0.052,24,0.9963,3.44,0.82,11.9,6
8,0.5,2.6,0.082,46,0.9985,3.43,0.62,10.7,6
8.2,0.24,5.1,0.062,22,0.9974,3.22,0.94,10.9,6
6,0.51,2.1,0.064,54,0.995,3.54,0.93,10.7,6
6,0.51,2.1,0.064,54,0.995,3.54,0.93,10.7,6
6.6,0.96,1.8,0.082,16,0.9936,3.5,0.44,11.9,6
6.4,0.47,2.4,0.071,19,0.9963,3.56,0.73,10.6,6
8.2,0.24,5.1,0.062,22,0.9974,3.22,0.94,10.9,6
7,0.54,2.1,0.079,55,0.9956,3.39,0.84,11.4,6
7.6,0.43,2.1,0.069,74,0.9958,3.26,0.54,9.9,6
10.2,0.54,15.4,0.214,95,1.00369,3.18,0.77,9,6
7.3,0.67,2.2,0.072,92,0.99566,3.32,0.68,11.06666667,6
7.4,0.785,5.2,0.094,98,0.99713,3.16,0.52,9.6,6
11.7,0.45,2.2,0.073,23,0.99974,3.21,0.69,10.9,6
6.5,0.9,1.6,0.052,17,0.99467,3.5,0.63,10.9,6
6.4,0.42,2.3,0.054,64,0.99724,3.41,0.68,10.4,6
6.9,0.63,2.4,0.076,39,0.99522,3.34,0.53,10.8,6
7.6,0.35,2.6,0.073,44,0.99656,3.38,0.79,11.1,6
7.1,0.22,1.8,0.039,18,0.99344,3.39,0.56,12.4,6
7,0.43,1.9,0.08,28,0.99492,3.35,0.81,10.6,6
6.9,0.74,2.3,0.054,16,0.99508,3.45,0.63,11.5,6
6.9,0.74,2.3,0.054,16,0.99508,3.45,0.63,11.5,6
6.2,0.44,2.5,0.077,14,0.99555,3.51,0.69,11,6
7.5,0.38,2.3,0.106,12,0.99605,3.36,0.55,11.4,6
6.8,0.81,2,0.07,14,0.99562,3.51,0.66,10.8,6
7.5,0.38,2.3,0.106,12,0.99605,3.36,0.55,11.4,6
7.1,0.27,2.1,0.074,25,0.99814,3.38,0.72,10.6,6
6.4,0.36,2.2,0.047,48,0.99661,3.47,0.77,9.7,6
6.9,0.84,4.1,0.074,65,0.99842,3.53,0.72,9.233333333,6
6.9,0.84,4.1,0.074,65,0.99842,3.53,0.72,9.25,6
6.5,0.53,2,0.063,44,0.99489,3.38,0.83,10.3,6
6.8,0.47,2.2,0.064,38,0.99553,3.3,0.65,9.6,6
7.9,0.29,2.2,0.096,59,0.99714,3.31,0.67,10.1,6
7.1,0.69,2.1,0.063,52,0.99608,3.42,0.6,10.2,6
6.6,0.44,2.2,0.063,18,0.99444,3.42,0.69,11.3,6
7.2,0.53,2,0.058,22,0.99573,3.21,0.68,9.9,6
7,0.55,2.2,0.075,35,0.9959,3.36,0.59,9.7,6
6.2,0.52,4.4,0.071,32,0.99646,3.56,0.63,11.6,6
6.5,0.63,1.8,0.059,28,0.99531,3.36,0.64,10.1,6
6.3,0.68,3.7,0.103,54,0.99586,3.51,0.66,11.3,6
6.6,0.855,2.4,0.062,23,0.99627,3.54,0.6,11,6
6.7,0.67,1.9,0.061,42,0.99489,3.39,0.82,10.9,6
6.7,0.16,2.1,0.059,52,0.99494,3.34,0.71,11.2,6
6.2,0.51,1.9,0.056,34,0.99396,3.48,0.57,11.5,6
6.4,0.36,2.2,0.23,35,0.9934,3.37,0.93,12.4,6
6.4,0.38,2.2,0.038,25,0.99514,3.44,0.65,11.1,6
6,0.58,2.4,0.075,50,0.99467,3.58,0.67,12.5,6
7.5,0.52,2.2,0.06,20,0.99474,3.26,0.64,11.8,6
8,0.3,1.6,0.081,29,0.99588,3.3,0.78,10.8,6
6.2,0.7,5.1,0.076,27,0.99622,3.54,0.6,11.9,6
6.8,0.67,1.8,0.118,20,0.9954,3.42,0.67,11.3,6
7.4,0.35,2.4,0.068,26,0.9947,3.36,0.6,11.9,6
7.5,0.31,2.4,0.065,60,0.99492,3.34,0.85,11.4,6
5.8,0.61,1.8,0.066,28,0.99483,3.55,0.66,10.9,6
6.3,0.55,1.8,0.077,35,0.99314,3.32,0.82,11.6,6
5.4,0.74,1.7,0.089,26,0.99402,3.67,0.56,11.6,6
6.3,0.51,2.3,0.076,40,0.99574,3.42,0.75,11,6
6.8,0.62,1.9,0.068,38,0.99651,3.42,0.82,9.5,6
5.9,0.55,2.2,0.062,51,0.99512,3.52,0.76,11.2,6
7.3,0.65,1.2,0.065,21,0.9946,3.39,0.47,10,7
7.8,0.58,2,0.073,18,0.9968,3.36,0.57,9.5,7
8.5,0.28,1.8,0.092,103,0.9969,3.3,0.75,10.5,7
8.1,0.38,2.1,0.066,30,0.9968,3.23,0.73,9.7,7
8,0.59,1.8,0.065,16,0.9962,3.42,0.92,10.5,7
9.6,0.32,1.4,0.056,24,0.99695,3.22,0.82,10.3,7
12.8,0.3,2.6,0.095,28,0.9994,3.2,0.77,10.8,7
12.8,0.3,2.6,0.095,28,0.9994,3.2,0.77,10.8,7
5.2,0.48,1.6,0.054,106,0.9927,3.54,0.62,12.2,7
15,0.21,2.2,0.075,24,1.00005,3.07,0.84,9.2,7
15,0.21,2.2,0.075,24,1.00005,3.07,0.84,9.2,7
10,0.31,2.6,0.085,33,0.99965,3.36,0.8,10.5,7
8.9,0.4,5.6,0.087,47,0.9991,3.38,0.77,10.5,7
7.7,0.27,3.5,0.358,10,0.9972,3.25,1.08,9.9,7
8.9,0.4,5.6,0.087,47,0.9991,3.38,0.77,10.5,7
8.7,0.52,2.5,0.091,49,0.9976,3.34,0.86,10.6,7
8.7,0.52,2.5,0.091,49,0.9976,3.34,0.86,10.6,7
9.8,0.66,3.2,0.083,59,0.9989,3.37,0.71,11.5,7
11.6,0.53,3.65,0.121,14,0.9978,3.05,0.74,11.5,7
7.9,0.65,2.5,0.078,38,0.9963,3.34,0.74,11.7,7
11.9,0.695,3.4,0.128,21,0.9992,3.17,0.84,12.2,7
12.5,0.28,2.3,0.082,29,0.9997,3.11,1.36,9.8,7
10.5,0.42,2.95,0.116,29,0.997,3.24,0.75,11.7,7
11.9,0.43,3.1,0.109,23,1,3.15,0.85,10.4,7
12.8,0.615,5.8,0.083,42,1.0022,3.07,0.73,10,7
12.8,0.615,5.8,0.083,42,1.0022,3.07,0.73,10,7
9.4,0.27,2.4,0.074,18,0.9962,3.2,1.13,12,7
9.4,0.27,2.4,0.074,18,0.9962,3.2,1.13,12,7
12,0.37,4.2,0.066,38,1.0004,3.22,0.6,13,7
12,0.39,3,0.093,30,0.9996,3.18,0.63,10.8,7
9.9,0.4,6.7,0.097,19,0.9986,3.27,0.82,11.7,7
6.6,0.84,2.3,0.059,48,0.9952,3.52,0.56,12.3,7
10.5,0.24,2.1,0.066,24,0.9978,3.15,0.9,11,7
6.6,0.84,2.3,0.059,48,0.9952,3.52,0.56,12.3,7
10.5,0.24,2.1,0.066,24,0.9978,3.15,0.9,11,7
15.6,0.685,3.7,0.1,43,1.0032,2.95,0.68,11.2,7
5.3,0.57,1.7,0.054,27,0.9934,3.57,0.84,12.5,7
10.4,0.33,2.8,0.084,22,0.9998,3.26,0.74,11.2,7
9.2,0.41,2.5,0.055,25,0.9952,3.34,0.79,13.3,7
8.9,0.4,2.6,0.052,27,0.995,3.32,0.9,13.4,7
10.4,0.44,6.55,0.074,76,0.999,3.17,0.85,12,7
10.4,0.44,6.55,0.074,76,0.999,3.17,0.85,12,7
10.5,0.24,1.8,0.077,22,0.9976,3.21,1.05,10.8,7
10.2,0.49,2.9,0.072,26,0.9968,3.16,0.78,12.5,7
10.4,0.24,1.8,0.075,21,0.9976,3.25,1.02,10.8,7
13.3,0.29,2.8,0.084,43,0.9986,3.04,0.68,11.4,7
10.5,0.51,2.4,0.107,15,0.9973,3.09,0.66,11.8,7
10.5,0.51,2.4,0.107,15,0.9973,3.09,0.66,11.8,7
12.9,0.35,5.8,0.066,35,1.0014,3.2,0.66,12,7
12,0.28,1.9,0.074,21,0.9976,2.98,0.66,9.9,7
8.7,0.48,2.8,0.066,28,0.9964,3.33,0.67,11.2,7
12,0.5,1.4,0.073,42,0.998,2.92,0.68,10.5,7
9.3,0.37,1.6,0.038,42,0.99526,3.24,0.81,10.8,7
5.1,0.585,1.7,0.044,86,0.99264,3.56,0.94,12.9,7
8.4,0.25,2,0.041,10,0.99386,3.27,0.71,12.5,7
4.9,0.42,2.1,0.048,42,0.99154,3.71,0.74,14,7
7.5,0.27,2.3,0.05,8,0.9951,3.4,0.64,11,7
6.7,0.28,2.4,0.012,100,0.99064,3.26,0.39,11.7,7
6.7,0.28,2.4,0.012,100,0.99064,3.26,0.39,11.7,7
10.1,0.31,1.6,0.075,28,0.99672,3.24,0.83,11.2,7
8.2,0.26,2.5,0.073,47,0.99594,3.4,0.78,11.3,7
11.7,0.28,1.7,0.054,32,0.99686,3.15,0.67,10.6,7
8.8,0.31,2.8,0.109,16,0.99614,3.31,0.79,11.8,7
8.3,0.31,2.4,0.078,43,0.99444,3.31,0.77,12.5,7
8.3,0.31,2.4,0.078,43,0.99444,3.31,0.77,12.5,7
7.4,0.635,2.4,0.08,33,0.99736,3.58,0.69,10.8,7
7.4,0.635,2.4,0.08,33,0.99736,3.58,0.69,10.8,7
6.8,0.59,6,0.06,18,0.9962,3.41,0.59,10.8,7
8.6,0.22,1.9,0.064,77,0.99604,3.47,0.87,11,7
8.7,0.33,3.3,0.063,19,0.99468,3.3,0.73,12,7
9.9,0.27,5,0.082,17,0.99484,3.19,0.52,12.5,7
10.1,0.43,2.6,0.092,52,0.99834,3.22,0.64,10,7
8.3,0.3,3.8,0.09,24,0.99498,3.27,0.64,12.1,7
10.2,0.44,4.1,0.092,24,0.99745,3.29,0.99,12,7
8.3,0.28,2.1,0.093,12,0.99408,3.26,0.62,12.4,7
8.9,0.12,1.8,0.075,21,0.99552,3.41,0.76,11.9,7
8.9,0.12,1.8,0.075,21,0.99552,3.41,0.76,11.9,7
8.3,0.28,2.1,0.093,12,0.99408,3.26,0.62,12.4,7
8.2,0.31,2.2,0.058,10,0.99536,3.31,0.68,11.2,7
10.2,0.34,2.1,0.052,9,0.99458,3.2,0.69,12.1,7
6.4,0.57,2.3,0.12,36,0.99519,3.47,0.71,11.3,7
8.8,0.33,5.9,0.073,13,0.99658,3.3,0.62,12.1,7
7,0.4,3.6,0.061,29,0.99416,3.28,0.49,11.3,7
7.5,0.43,2.2,0.062,12,0.99495,3.44,0.72,11.5,7
6.8,0.36,1.8,0.067,8,0.9928,3.36,0.55,12.8,7
9.1,0.29,2.05,0.063,27,0.99516,3.26,0.84,11.7,7
9.1,0.3,2,0.064,25,0.99516,3.26,0.84,11.7,7
8.9,0.35,3.6,0.11,24,0.99549,3.23,0.7,12,7
8.9,0.28,1.7,0.067,12,0.99354,3.25,0.55,12.3,7
8.9,0.38,2.2,0.068,28,0.99486,3.27,0.75,12.6,7
7.7,0.58,1.8,0.088,18,0.99568,3.32,0.56,10.5,7
7.7,0.58,1.8,0.088,18,0.99568,3.32,0.56,10.5,7
10.1,0.37,2.4,0.085,17,0.99683,3.17,0.65,10.6,7
7.6,0.31,2.5,0.082,35,0.99356,3.22,0.59,12.5,7
8.7,0.41,6.2,0.078,42,0.9953,3.24,0.77,12.6,7
8.3,0.33,2.3,0.07,20,0.99426,3.38,0.77,12.7,7
8.9,0.48,4,0.101,10,0.99586,3.21,0.59,12.1,7
9.9,0.53,2.4,0.093,52,0.9971,3.19,0.76,11.6,7
8.9,0.48,4,0.101,10,0.99586,3.21,0.59,12.1,7
6.6,0.52,2.4,0.07,26,0.99358,3.4,0.72,12.5,7
11.1,0.31,2.2,0.06,10,0.99572,3.02,0.83,10.9,7
9.3,0.33,1.5,0.057,37,0.99498,3.18,0.89,11.1,7
7.9,0.3,8.3,0.05,278,0.99316,3.01,0.51,12.3,7
7.9,0.3,8.3,0.05,289,0.99316,3.01,0.51,12.3,7
8.5,0.34,4.7,0.055,9,0.99738,3.38,0.66,11.6,7
11.6,0.41,1.5,0.095,41,0.99735,3.02,0.76,9.9,7
